Date,Name,Market,Ticker,MarketCap,Price,Currency
2026-01-22,网易,HK,9999.HK,6015.09,186.66,CNY
2026-01-23,网易,HK,9999.HK,5965.42,185.12,CNY
2026-01-26,网易,HK,9999.HK,6007.32,186.42,CNY
2026-01-27,网易,HK,9999.HK,5949.35,184.62,CNY
2026-01-28,网易,HK,9999.HK,6091.02,189.02,CNY
2026-01-29,网易,HK,9999.HK,5934.58,184.16,CNY
2026-01-30,网易,HK,9999.HK,5880.31,182.48,CNY
2026-02-02,网易,HK,9999.HK,5676.04,176.14,CNY
2026-02-03,网易,HK,9999.HK,5689.14,176.55,CNY
2026-02-04,网易,HK,9999.HK,5494.93,170.52,CNY
2025-02-05,百度,US,BIDU,2218.99,636.53,CNY
2025-02-06,百度,US,BIDU,2250.92,645.69,CNY
2025-02-07,百度,US,BIDU,2269.24,650.95,CNY
2025-02-10,百度,US,BIDU,2384.0,683.87,CNY
2025-02-11,百度,US,BIDU,2277.49,653.31,CNY
2025-02-12,百度,US,BIDU,2377.68,682.05,CNY
2025-02-13,百度,US,BIDU,2461.01,705.96,CNY
2025-02-14,百度,US,BIDU,2476.89,710.51,CNY
2025-02-18,百度,US,BIDU,2279.64,653.93,CNY
2025-02-19,百度,US,BIDU,2233.64,640.74,CNY
2025-02-20,百度,US,BIDU,2276.21,652.95,CNY
2025-02-21,百度,US,BIDU,2308.75,662.28,CNY
2025-02-24,百度,US,BIDU,2220.82,637.06,CNY
2025-02-25,百度,US,BIDU,2249.14,645.18,CNY
2025-02-26,百度,US,BIDU,2252.68,646.2,CNY
2025-02-27,百度,US,BIDU,2233.14,640.59,CNY
2025-02-28,百度,US,BIDU,2195.57,629.81,CNY
2025-03-03,百度,US,BIDU,2140.74,614.09,CNY
2025-03-04,百度,US,BIDU,2213.04,634.83,CNY
2025-03-05,百度,US,BIDU,2327.0,667.52,CNY
2025-03-06,百度,US,BIDU,2360.53,677.13,CNY
2025-03-07,百度,US,BIDU,2396.16,687.36,CNY
2025-03-10,百度,US,BIDU,2334.95,669.8,CNY
2025-03-11,百度,US,BIDU,2390.62,685.77,CNY
2025-03-12,百度,US,BIDU,2338.24,670.74,CNY
2025-03-13,百度,US,BIDU,2378.08,682.17,CNY
2025-03-14,百度,US,BIDU,2366.98,678.98,CNY
2025-03-17,百度,US,BIDU,2580.16,740.14,CNY
2025-03-18,百度,US,BIDU,2584.65,741.42,CNY
2025-03-19,百度,US,BIDU,2475.13,710.01,CNY
2025-03-20,百度,US,BIDU,2376.0,681.57,CNY
2025-03-21,百度,US,BIDU,2388.64,685.2,CNY
2025-03-24,百度,US,BIDU,2422.51,694.91,CNY
2025-03-25,百度,US,BIDU,2411.62,691.79,CNY
2025-03-26,百度,US,BIDU,2466.55,707.55,CNY
2025-03-27,百度,US,BIDU,2489.83,714.22,CNY
2025-03-28,百度,US,BIDU,2364.15,678.17,CNY
2025-03-31,百度,US,BIDU,2330.06,668.4,CNY
2025-04-01,百度,US,BIDU,2317.99,664.93,CNY
2025-04-02,百度,US,BIDU,2329.74,668.3,CNY
2025-04-03,百度,US,BIDU,2275.08,652.62,CNY
2025-04-04,百度,US,BIDU,2088.36,599.06,CNY
2025-04-07,百度,US,BIDU,2024.55,580.76,CNY
2025-04-08,百度,US,BIDU,1958.12,561.7,CNY
2025-04-09,百度,US,BIDU,2061.77,591.43,CNY
2025-04-10,百度,US,BIDU,2010.6,576.75,CNY
2025-04-11,百度,US,BIDU,2109.37,605.09,CNY
2025-04-14,百度,US,BIDU,2166.71,621.54,CNY
2025-04-15,百度,US,BIDU,2155.15,618.22,CNY
2025-04-16,百度,US,BIDU,2102.9,603.23,CNY
2025-04-17,百度,US,BIDU,2105.19,603.89,CNY
2025-04-21,百度,US,BIDU,2081.32,597.04,CNY
2025-04-22,百度,US,BIDU,2164.33,620.85,CNY
2025-04-23,百度,US,BIDU,2230.57,639.86,CNY
2025-04-24,百度,US,BIDU,2273.25,652.1,CNY
2025-04-25,百度,US,BIDU,2304.74,661.13,CNY
2025-04-28,百度,US,BIDU,2295.47,658.47,CNY
2025-04-29,百度,US,BIDU,2274.73,652.52,CNY
2025-04-30,百度,US,BIDU,2225.37,638.36,CNY
2025-05-01,百度,US,BIDU,2228.14,639.16,CNY
2025-05-02,百度,US,BIDU,2280.1,654.06,CNY
2025-05-05,百度,US,BIDU,2287.7,656.24,CNY
2025-05-06,百度,US,BIDU,2312.1,663.24,CNY
